Address,PropertyType,Beds,Baths,Sqft,YearBuilt,WalkScore,TransitScore,ParkingPrice,ParkingType,Cooling,Laundry,Description,Price
2565 Boyce Plaza Rd Pittsburgh PA 15241,0.0,1.0,1.0,828.0,1950.0,20.0,0.0,0.0,1.0,1.0,2.0,"Experience the best in luxury living with breathtaking creek and woodland views offering plenty of privacy, not often found in apartment living. Our unique Upper St. Clair community and friendly management team provide you with a serene, yet energetic atmosphere that you will look forward to coming home to each day. Torrente is located in the #1 school district in Western Pennsylvania, Upper St. Clair. This historic community was founded in 1762 and has been a community rich in pride and history ever since. We offer an exceptional location within this community, thoughtfully nestled within Upper St. Clair and close to all the your everyday conveniences as South Hills Village Mall and Whole Foods. Our Residents enjoy a wide array of popular amenities, such as: on-site maintenance with no maintenance fees, on-site storage, garage and underground parking facilities, a 24-Hour Fitness Center, as well as elevators in all the buildings and so much more!",1285.0
7122 Whipple St Pittsburgh PA 15218,1.0,1.0,1.0,800.0,2012.0,56.0,47.0,0.0,1.0,1.0,1.0,"This Town Home is for rent in the East End section of Pittsburgh,Swiss-helm Park area, near Regent Square, and has been completely renovated complete with new kitchen, bathroom, and hardwood floors. 
The First floor has been updated to have an open floor plan, so the living room, dining room and kitchen all flow into each other. Granite Counter-tops in Kitchen, Wet room Style Bath and exposed brick. 
The Second floor is loft style with an open floor plan at 400 Sq feet. 
The home is flooded with natural light, park views, and is very contemporary. Great location sits you a block from Frick Park.
It has both front and back porches, and has a fenced-in backyard complete with large private patio, garden with raised beds for planting and a GREEN rain barrel. 
The home is conveniently located near Regent Square, Swiss-helm Park, Squirrel Hill and Frick Park. A few exits away from UPMC, Pitt, Oakland, Sq Hill, and downtown Pittsburgh.

Home Includes:

Central AC
Refrigerator
Dishwasher
Gas Range
Microwave
Washer and dryer 
Garage spot available

NO PETS, NON SMOKING Unit.
Rent is $925.00 per month plus utilities. 

First month rent and $925.00 Security deposit is required upon lease signing.($1,850.00 total required to move in.)

Tenant pays Gas, Electric,Water/Sewage, TrashRead less",925.0
5510 Stanton Ave Pittsburgh PA 15206,1.0,2.0,1.0,900.0,1950.0,59.0,50.0,0.0,0.0,0.0,0.0,"Highland Park - 2BR Apartment With Off Street Parking - Our Highland Park apartments for rent in Pittsburgh are just down the road from Route 28 as well as along Pittsburgh's main bus lines making it easy to get to many hospitals (UMPC, West Penn), colleges and universities (ie; Carnegie Mellon University [CMU], Duquesne University, Pittsburgh University, Carlow University, Chatham University and many others) and various grocery stores and shopping areas. Highland Park is a quaint neighborhood located directly past the Pittsburgh Zoo. This area is known for its traditional Victorian style mansions (which house many of our apartments), serene parks (Highland Park), local delis, grocery stores, ethnic restaurants, ?stylish boutiques and up and coming business district.

(RLNE6545920)Read less",1125.0
10 Allegheny Ct Pittsburgh PA 15212,0.0,0.0,1.0,630.0,1950.0,83.0,62.0,0.0,1.0,0.0,1.0,"FROM VIRTUAL. TO REALITY.CALL US FOR AN IN-PERSON, SOCIAL DISTANCING TOUR!Located in the heart of Pittsburgh's North Shore, Park View Apartments offer a full range of amenities to its residents that include: Controlled entrance access system, beautiful roof top decks, fitness center, large windows and balconies. Residents will also enjoy convenient access to a number of the city's most popular cultural and athletic attractions, including PNC Park, Heinz Field, the Benedum Center, O'Reilly Theatre, Carnegie Science Center, Andy Warhol Museum, Convention Center, Children's Museum and Three Rivers Casino. Park View prides itself in providing affordable luxury in the heart of an urban park environment.",990.0
340 Highland Ave Pittsburgh PA 15206,0.0,2.0,1.0,900.0,1913.0,94.0,69.0,0.0,1.0,0.0,0.0,"2 Bedroom 1 Bathroom Apartment in Shadyside

This two bedroom apartment is on the first floor of a historic landmark apartment building. This apartment features wall-to-wall carpet, beautiful built-in shelving, and plenty of closet space. 

$1,270/month rent; $1,310security deposit required

Gas Heat and Water Included

Available: Now or Later 

Ample storage and laundry facilities available in building

Cat friendly (contact Franklin West Inc. for pet rules and fees)

For a full list of our availability see (franklinwest.com)

This property is professionally managed by Franklin West Inc. Please submit the form on this page to learn more.Read less",1270.0
80 Sandune Dr Pittsburgh PA 15239,0.0,2.0,1.0,800.0,1950.0,50.0,18.0,0.0,0.0,1.0,2.0,"Holiday Park is well-planned, self contained community that\u0027s an integral part of the Pittsburgh area. Within minutes of Holiday Park you will find excellent schools, public transportation, shopping, medical offices, recreation, sports programs, day care facilities and fitness facilities. Located off of Route 286 to Business 22 you will find it convenient to the Pennsylvania Turnpike, the Parkway East, Pittsburgh, Greensburg, Oakland, Shadyside and Squirrel Hill. Enjoy a night out at the Waterfront or South side. Close to the Monroeville Mall you will find great shopping, entertainment and wonderful restaurants. A few of the many highlights of our townhomes include patios, garages, and the conveniences of in house laundry rooms, many include full size washers and dryers. Some of the apartment homes have private balconies for you to relax and enjoy your leisure moments. We also have laundry facilities and off street parking. The two and three bedroom luxury townhomes, nestled in an elegant setting, offer 2.5 baths, eat-in kitchens, dining rooms, garage, balcony and a fireplace. Holiday Park Apartments and Townhomes, we are always there for you. Take advantage of our gift to you when you make your home with us. (All new one year leases include one year membership to YMCA.) You\u0027ll appreciate the Property Concierge Advantage with dedicated and attentive staff, available 24 hours daily. On-site service personnel assures that your living experience at Holiday Park Apartments and Townhomes is enjoyable and carefree. 24 Hour Emergency Maintenance, Balconies and Patios in Select Homes, Close to PA Turnpike and Parkway East, Employer Discounts, Finished Basements - Select Homes, Located near Plum, Monroeville & Murrysville, One & Two Car Garages *Select Units, Pet Friendly (Restrictions Apply), Some with Gas Fireplace, Some with Vaulted Ceilings and Skylights, Storage Available in Select Homes, Upgraded Kitchens, Washer/Dryer Included in Select Homes",861.0
200 Cowan St Pittsburgh PA 15211,0.0,2.0,2.0,1152.0,1950.0,77.0,72.0,0.0,1.0,1.0,2.0,"Located atop Pittsburgh's most famous vantage point, this revitalized Historic Landmark is the neighborhood's first contemporary loft-style apartments. Boasting 67 units of modern, urban living - studio, 1-Bedroom, 2-Bedroom, 3-Bedroom, and 1-2-Bedroom Townhouse units housed in the former Prospect School (1931), an Art Deco-style building listed on the National Register of Historic Places. It is within walking distance of both the Grandview Avenue and Shiloh Street commercial districts as well as Emerald View Park, which has miles of hiking trails featuring panoramic views of the city. Residents will have an easy, visually-inspiring, commute to downtown via the Monongahela Incline or by car via the PJ McArdle Roadway. Tenants pay an additional fee's for parking($45.00/month) and water ($45.00/month). Our Pet Fee is a non-refundable $250 upon move in, then $25/month per pet.12 months",1700.0
1700-1720 Wightman St Pittsburgh PA 15217,0.0,4.0,2.5,1727.0,1950.0,89.0,56.0,0.0,1.0,1.0,0.0,"Walnut on Wightman is bursting at the seams with intelligence home to many brilliant CMU graduate students pursuing their dreams from the comfort of Walnut on Wightman. This property is a hub for postgraduate students due to its close proximity to campus and convenient layouts. Walnut on Wightman has three floor plans to choose from, all with four similarly-sized bedrooms perfect for living with roommates. Units feature updated interiors with restored hardwood floors, large windows, original fireplace mantles and updated kitchens and bathrooms. The property's exterior is well-kept with lush landscaping and private porches and patios. Plus, all units come with in-unit laundry, additional on-site storage and one parking space per unit included in your rent. No car? No problem, the town houses are located right along a public transportation line and are within walking distance to CMU and Squirrel Hill's popular restaurants, shops, and cafes.Read less",3185.0
306 Janice Dr Pittsburgh PA 15235,1.0,3.0,1.5,900.0,1954.0,40.0,62.0,0.0,0.0,0.0,0.0,"This is one floor living with a large basement. Hardwood floors throughout. Open floor plan with kitchen, dining area and family room. Three bedroom and one full bath finish the first floor. Large basement for storage. Cozy private back yard and a one car garage back yard. Credit: 600+ First and Security Deposit. Income: 3x Monthly Rent. Nothing in collections. No prior evictions. Length of Lease: Minimum 1 year, prefer 2+. Rentwell's Resident Package which is $15/month:. - online portal. - free online rent pay by syncing checking / savings account. - period evaluations of the rental. ONE TIME FEE:. $75 Move-In Fee (includes). - Lease Generation. - Lease Negotiation. - Portal Activation. - Reviewing Screening Report and Document Collection. - Pre Move-In Inspection. GENERAL QUESTIONS. Large Garage 1 Space. Parking One (1) Car Private Driveway. Yard Back PrivateRead less",1200.0
434 5th Ave Pittsburgh PA 15219,0.0,1.0,1.0,813.0,2020.0,99.0,100.0,185.0,1.0,1.0,1.0,"
About KAUFMANNS GRAND ON FIFTH
Kaufmann's Grand on Fifth offers the most stylish and historic living in the heart of downtown Pittsburgh. Located in the iconic Kaufmann building, Kaufmann's Grand on Fifth mixes the beauties of the past with the luxuries of today. Studio, one and two-bedroom apartments are beautifully appointed with contemporary finishes and features including over-sized windows, open kitchens and stainless steel appliances. Amongst the sought-after central locale, this re-development under the clock offers convenient access to entertainment and nightlife all throughout the ""Golden Triangle"" in Pittsburgh.



Unique Features



24/7 Security on site


Coffee In Lobby


Conference Rooms


Fitness Center


Gas Range


Jacuizz Tub, Turkish Marble Flooring









Community Amenities





Fitness Center





Elevator





Doorman





Concierge
 






Package Service


Controlled Access


Maintenance on site


Property Manager on Site


Doorman


Concierge


24 Hour Availability


On-Site Retail


Recycling


Planned Social Activities


Public Transportation


Key Fob Entry


Elevator


Disposal Chutes


Conference Room


Fitness Center






Apartment Features





Washer/Dryer - In Unit





Air Conditioning





Dishwasher





Wheelchair Accessible (Rooms)





High Speed Internet Access





Hardwood Floors





Walk-In Closets





Island Kitchen
 


Highlights



High Speed Internet Access


Wi-Fi


Washer/Dryer - In Unit


Air Conditioning


Heating


Ceiling Fans


Smoke Free


Cable Ready


Double Vanities


Tub/Shower


Surround Sound


Intercom


Sprinkler System


Wheelchair Accessible (Rooms)





Kitchen Features & Appliances



Dishwasher


Disposal


Ice Maker


Granite Countertops


Stainless Steel Appliances


Pantry


Island Kitchen


Eat-in Kitchen


Kitchen


Microwave


Oven


Range


Refrigerator


Freezer


Breakfast Nook


Instant Hot Water





Floor Plan Details



Hardwood Floors


Carpet


Tile Floors


Dining Room


Crown Molding


Vaulted Ceiling


Bay Window


Views


Walk-In Closets


Linen Closet


Window Coverings


Large Bedrooms


Grill






",1720.0
