,Price,Address,PropertyType,Beds,Baths,Sqft,YearBuilt,WalkScore,TransitScore,ParkingPrice,ParkingType,Cooling,Laundry,Description,Clean Description,apartment,bedroom,kitchen,apartments,new,parking,available,located,one,rent,room,less,floor,water,laundry,gas,access,living,site,street,center,floors,park,features
0,1750.0,200 Cowan St Pittsburgh PA 15211,0.0,2.0,2.0,1162.0,1950,77.0,72.0,0.0,1.0,1.0,2.0,"Located atop Pittsburgh's most famous vantage point, this revitalized Historic Landmark is the neighborhood's first contemporary loft-style apartments. Boasting 67 units of modern, urban living - studio, 1-Bedroom, 2-Bedroom, 3-Bedroom, and 1-2-Bedroom Townhouse units housed in the former Prospect School (1931), an Art Deco-style building listed on the National Register of Historic Places. It is within walking distance of both the Grandview Avenue and Shiloh Street commercial districts as well as Emerald View Park, which has miles of hiking trails featuring panoramic views of the city. Residents will have an easy, visually-inspiring, commute to downtown via the Monongahela Incline or by car via the PJ McArdle Roadway. Tenants pay an additional fee's for parking($45.00/month) and water ($45.00/month). Our Pet Fee is a non-refundable $250 upon move in, then $25/month per pet.12 months",located atop pittsburgh s most famous vantage point this revitalized historic landmark is the neighborhood s first contemporary loft style apartments boasting units of modern urban living studio bedroom bedroom bedroom and bedroom townhouse units housed in the former prospect school an art deco style building listed on the national register of historic places it is within walking distance of both the grandview avenue and shiloh street commercial districts as well as emerald view park which has miles of hiking trails featuring panoramic views of the city residents will have an easy visually inspiring commute to downtown via the monongahela incline or by car via the pj mcardle roadway tenants pay an additional fee s for parking month and water month our pet fee is a non refundable upon move in then month per pet months,1,4,0,1,0,1,0,1,0,0,4,0,0,1,0,0,0,1,0,1,0,0,2,0
1,2000.0,44 Wyoming St Pittsburgh PA 15211,0.0,2.0,2.0,1070.0,1950,83.0,79.0,0.0,0.0,1.0,0.0,"This a great 2 bedroom 2 bath with an updated kitchen in the Heart of Mount Washington! Just a block from Shiloh St and the Monongahela Incline. With a view of the city, balcony, fireplace, hardwood floors, central air, and an updated kitchen that includes stainless steel appliances consisting of a refrigerator, electric stove, dishwasher, microwave, and disposal. Available August 1st, you just pay electric and we take care of gas, water, sewage & trash. Renting from PPM Advantage!:. - easy online rent payments. - build your credit. - online service request. - buy your home with PPM and break your lease with no fees. credit and criminal check required, not approved for section 8, pet fees and breed restrictions apply, the rental rate is based on dual occupancy,$100 additional fee for 3rd occupant, square footage is an estimate. 2 Baths!. City View. Close To Restaurants And Bars!. In Unit Washer & Dryer. Near Transportation. On Site Laundry. ParkingRead less",this a great bedroom bath with an updated kitchen in the heart of mount washington just a block from shiloh st and the monongahela incline with a view of the city balcony fireplace hardwood floors central air and an updated kitchen that includes stainless steel appliances consisting of a refrigerator electric stove dishwasher microwave and disposal available august st you just pay electric and we take care of gas water sewage trash renting from ppm advantage easy online rent payments build your credit online service request buy your home with ppm and break your lease with no fees credit and criminal check required not approved for section pet fees and breed restrictions apply the rental rate is based on dual occupancy additional fee for rd occupant square footage is an estimate baths city view close to restaurants and bars in unit washer dryer near transportation on site laundry parkingread less,0,1,2,0,0,1,1,0,0,3,1,2,1,1,1,1,0,0,1,0,0,1,1,0
2,1480.0,2565 Boyce Plaza Rd Pittsburgh PA 15241,0.0,2.0,2.0,1132.0,1950,20.0,0.0,0.0,1.0,1.0,2.0,"Experience the best in luxury living with breathtaking creek and woodland views offering plenty of privacy, not often found in apartment living. Our unique Upper St. Clair community and friendly management team provide you with a serene, yet energetic atmosphere that you will look forward to coming home to each day. Torrente is located in the #1 school district in Western Pennsylvania, Upper St. Clair. This historic community was founded in 1762 and has been a community rich in pride and history ever since. We offer an exceptional location within this community, thoughtfully nestled within Upper St. Clair and close to all the your everyday conveniences as South Hills Village Mall and Whole Foods. Our Residents enjoy a wide array of popular amenities, such as: on-site maintenance with no maintenance fees, on-site storage, garage and underground parking facilities, a 24-Hour Fitness Center, as well as elevators in all the buildings and so much more!",experience the best in luxury living with breathtaking creek and woodland views offering plenty of privacy not often found in apartment living our unique upper st clair community and friendly management team provide you with a serene yet energetic atmosphere that you will look forward to coming home to each day torrente is located in the school district in western pennsylvania upper st clair this historic community was founded in and has been a community rich in pride and history ever since we offer an exceptional location within this community thoughtfully nestled within upper st clair and close to all the your everyday conveniences as south hills village mall and whole foods our residents enjoy a wide array of popular amenities such as on site maintenance with no maintenance fees on site storage garage and underground parking facilities a hour fitness center as well as elevators in all the buildings and so much more,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,0,1,0,1,0
3,1380.0,7120 Mcclure Ave Pittsburgh PA 15218,0.0,3.0,1.5,1585.0,1926,64.0,52.0,0.0,1.0,1.0,0.0,"2 BEDROOMS ; 1.5 BATHROOMS + DEN. 1585 Sq. Feet/147 Sq. Meters

FURNISHED, UTILITIES INCLUDED first-floor apt has lots of closet space. Walking distance to grocery store, pharmacy, bank, gym, Frick Park, and restaurants. P71 bus stop to downtown Pittsburgh is 200 feet away and the 61B bus to Sq. Hill and Oakland is .275 miles/.44 km away. Parkway entrance and East Busway are nearby. Quick and easy access to local universities and businesses (3 miles/4.8 KM from CMU. Also, 3.5 miles/5.63 KM from Pitt's Cathedral of Learning, and 2.7 miles/4.35KM from Bakery Square).

Two bedrooms each have a queen-sized bed. The third is furnished as a TV/study room. Two TVs (one is 37"") with cable provided, including HBO and strong Wi-Fi for your computer(s). Utilities are included, except for phone, as well as free-use of the washer and dryer in the basement (no quarters needed:).

Silverware/Dishes/Pots/Pans/Towels/Coffee Maker/Can Opener/Toaster/Blender/Microwave ALL provided. Renter just needs to have a phone. Owner pays for gas, electric, Wi-Fi, cable, water, trash, and sewer.

Lease Terms:

$1380.00/Month ($690 a person when shared) w/eight months or greater lease 
$1480.00/Month for short-term lease ( 7 months or fewer)
$2000.00 Deposit ($1,000 a person, if shared)

Lease Length: One Year Preferred/Short-term considered for $1480 a month
Available: 04/24/2021 - Sign an 8 month or more lease and get the rest of April FREE 

Amenities:

Air Conditioning - one 12,000 BTU unit to cool most of the place, and a 5,000 BTU one 
Quiet Bosch Dishwasher
Fully Furnished - with a minimum three-month lease a bed could be put in our garage to turn the second bedroom into an office, workout space, or whatever
Microwave
Oven
Refrigerator
Cable with HBO included
Strong Wi-Fi
Bicycle Parking
Faux Fireplace
Lovely Porch (WiFi works there too!)
Near Frick Park (1.2 miles away)
Off-Street Parking
Security Cameras

This first-floor apartment with the ramp in the back has good accessibility overall for someone who may have some mobility issues except for the den's opening, which is less than 32"" wide. 

Conveniently located in the East End in Swissvale near Swisshelm Park/Squirrel Hill and Regent Square/Edgewood. 

Again, renter just needs to pay to have a phone. The owner pays for electric, gas, Wi-Fi, cable, water, trash, and sewer. Plus, a washer and dryer, just one floor below from this apartment, are free to use.

ALL UTILITIES (except phone) are INCLUDED! Owner pays for electric, gas, Wi-Fi, cable, water, trash and sewer. Laundry use is included as well.Read less",bedrooms bathrooms den sq feet sq meters furnished utilities included first floor apt has lots of closet space walking distance to grocery store pharmacy bank gym frick park and restaurants p bus stop to downtown pittsburgh is feet away and the b bus to sq hill and oakland is miles km away parkway entrance and east busway are nearby quick and easy access to local universities and businesses miles km from cmu also miles km from pitt s cathedral of learning and miles km from bakery square two bedrooms each have a queen sized bed the third is furnished as a tv study room two tvs one is with cable provided including hbo and strong wi fi for your computer s utilities are included except for phone as well as free use of the washer and dryer in the basement no quarters needed silverware dishes pots pans towels coffee maker can opener toaster blender microwave all provided renter just needs to have a phone owner pays for gas electric wi fi cable water trash and sewer lease terms month a person when shared w eight months or greater lease month for short term lease months or fewer deposit a person if shared lease length one year preferred short term considered for a month available sign an month or more lease and get the rest of april free amenities air conditioning one btu unit to cool most of the place and a btu one quiet bosch dishwasher fully furnished with a minimum three month lease a bed could be put in our garage to turn the second bedroom into an office workout space or whatever microwave oven refrigerator cable with hbo included strong wi fi bicycle parking faux fireplace lovely porch wifi works there too near frick park miles away off street parking security cameras this first floor apartment with the ramp in the back has good accessibility overall for someone who may have some mobility issues except for the den s opening which is less than wide conveniently located in the east end in swissvale near swisshelm park squirrel hill and regent square edgewood again renter just needs to pay to have a phone the owner pays for electric gas wi fi cable water trash and sewer plus a washer and dryer just one floor below from this apartment are free to use all utilities except phone are included owner pays for electric gas wi fi cable water trash and sewer laundry use is included as well read less,2,3,0,0,0,2,1,1,10,2,5,2,3,3,1,3,2,0,0,1,0,0,6,0
4,1795.0,425 6th Ave Pittsburgh PA 15219,0.0,2.0,2.0,886.0,1950,80.0,75.0,0.0,0.0,1.0,1.0,"Offering beautiful spaces, top-tier amenities, and today's modern conveniences. Ideally situated minutes from Pittsburgh's best shopping, restaurants, hotels, and employers.FOR A LIMITED TIME! Enjoy one month's rent free when you sign a 12-month lease!",offering beautiful spaces top tier amenities and today s modern conveniences ideally situated minutes from pittsburgh s best shopping restaurants hotels and employers for a limited time enjoy one month s rent free when you sign a month lease,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,900.0,5660 Munhall Rd Pittsburgh PA 15217,0.0,1.0,1.0,886.0,1950,92.0,53.0,0.0,0.0,0.0,0.0,"This is a great building under new ownership and located in the very heart of Sq. Hill. All of the best pizza, the farmer's market and movies outside your door.
The units have just been remodeled with new kitchens.
The units have lots of storage with 4 closets.
The owners are local and known for outstanding service with full-time maintenance staff.
Units are available for immediate move-in, June 1, July 1, August 1.

Rent INCLUDES gas and water. Only electric is additional.Read less",this is a great building under new ownership and located in the very heart of sq hill all of the best pizza the farmer s market and movies outside your door the units have just been remodeled with new kitchens the units have lots of storage with closets the owners are local and known for outstanding service with full time maintenance staff units are available for immediate move in june july august rent includes gas and water only electric is additional read less,0,0,1,0,2,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
6,1375.0,1036 Beechwood Blvd Pittsburgh PA 15206,0.0,1.0,1.0,690.0,1950,72.0,66.0,0.0,1.0,1.0,0.0,"The Carriage House, known as ""The Tree Tops"", is a secluded spacious remodeled apartment being offered to let. Located in Long Shadows, a magnificent estate situated in the exclusive mansion row of Sq.Hill. Living room with hardwood floor, newer bath and kitchen with gas stove, a huge bedroom with 12 windows and recessed lighting, overlooking Mellon Park, gorgeous sunsets, very private, with parking (one spot only). Only for the most discriminating. $1375, all utilities included.

All utilities included. One parking spot provided (additional spots available for rent).Read less",the carriage house known as the tree tops is a secluded spacious remodeled apartment being offered to let located in long shadows a magnificent estate situated in the exclusive mansion row of sq hill living room with hardwood floor newer bath and kitchen with gas stove a huge bedroom with windows and recessed lighting overlooking mellon park gorgeous sunsets very private with parking one spot only only for the most discriminating all utilities included all utilities included one parking spot provided additional spots available for rent read less,1,1,1,0,1,2,1,1,2,1,2,1,1,0,0,1,0,1,0,0,0,0,3,0
7,1195.0,2016 18th St Pittsburgh PA 15203,0.0,3.0,2.0,1400.0,1910,76.0,51.0,0.0,1.0,0.0,1.0,"Terrific view of Pgh.3 large br 2 bath fully equipped kitchen w/ stainless steel appliances ,granite counters,laminate and tile floorsoff st pkg,busline quiet neighborhood . Large deckRead less",terrific view of pgh large br bath fully equipped kitchen w stainless steel appliances granite counters laminate and tile floorsoff st pkg busline quiet neighborhood large deckread less,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
8,900.0,4 De Witt St Pittsburgh PA 15211,0.0,2.0,1.0,1100.0,1910,65.0,68.0,0.0,0.0,0.0,0.0,"Large 2nd and 3rd floor apartment within a 2 unit building with private rear entrance. Equipped kitchen, living room, 1 bath, 2 bedrooms (1 on 2nd floor and 1 on 3rd floor). Lots of storage on 3rd floor. Large private, covered patio. Very close to bus stop, which is then a short commute into downtown. 
Available July 1st.

Owner pays trash, water and sewer. Tenant pays gas and electric. Pets accepted on a case-by-case basis, but when accepted, requires additional $50/mo rent and additional pet security deposit.Read less",large nd and rd floor apartment within a unit building with private rear entrance equipped kitchen living room bath bedrooms on nd floor and on rd floor lots of storage on rd floor large private covered patio very close to bus stop which is then a short commute into downtown available july st owner pays trash water and sewer tenant pays gas and electric pets accepted on a case by case basis but when accepted requires additional mo rent and additional pet security deposit read less,1,1,1,0,0,0,1,0,0,1,2,1,4,1,0,1,0,1,0,0,0,0,0,0
9,1250.0,425 6th Ave Pittsburgh PA 15219,0.0,1.0,1.0,886.0,1950,80.0,75.0,0.0,0.0,1.0,1.0,"Offering beautiful spaces, top-tier amenities, and today's modern conveniences. Ideally situated minutes from Pittsburgh's best shopping, restaurants, hotels, and employers.FOR A LIMITED TIME! Enjoy one month's rent free when you sign a 12-month lease!",offering beautiful spaces top tier amenities and today s modern conveniences ideally situated minutes from pittsburgh s best shopping restaurants hotels and employers for a limited time enjoy one month s rent free when you sign a month lease,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
